Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
160.00	13.467	196.67	0.0050845	21.991	25.005	89.981	37.369	59.430	307.07	3.4402	25.001	0.036179	supercritical
160.00	13.500	197.24	0.0050700	21.986	24.998	89.948	37.377	59.482	307.10	3.4364	25.018	0.036212	supercritical
160.00	13.533	197.80	0.0050556	21.980	24.991	89.915	37.384	59.534	307.13	3.4326	25.035	0.036244	supercritical
160.00	13.567	198.36	0.0050413	21.974	24.984	89.882	37.391	59.586	307.16	3.4288	25.052	0.036277	supercritical
160.00	13.600	198.93	0.0050270	21.969	24.978	89.850	37.398	59.638	307.20	3.4250	25.069	0.036309	supercritical
160.00	13.633	199.49	0.0050128	21.963	24.971	89.817	37.405	59.690	307.23	3.4212	25.086	0.036342	supercritical
160.00	13.667	200.05	0.0049987	21.957	24.964	89.784	37.412	59.742	307.26	3.4173	25.104	0.036375	supercritical
160.00	13.700	200.62	0.0049846	21.952	24.957	89.752	37.419	59.794	307.29	3.4135	25.121	0.036407	supercritical
160.00	13.733	201.18	0.0049706	21.946	24.950	89.719	37.426	59.846	307.33	3.4097	25.138	0.036440	supercritical
160.00	13.767	201.75	0.0049567	21.940	24.943	89.687	37.433	59.897	307.36	3.4058	25.156	0.036473	supercritical
160.00	13.800	202.31	0.0049429	21.935	24.937	89.654	37.440	59.949	307.40	3.4020	25.173	0.036506	supercritical
160.00	13.833	202.88	0.0049291	21.929	24.930	89.622	37.447	60.001	307.43	3.3981	25.191	0.036539	supercritical
160.00	13.867	203.44	0.0049154	21.923	24.923	89.589	37.454	60.053	307.47	3.3942	25.208	0.036572	supercritical
160.00	13.900	204.01	0.0049018	21.918	24.916	89.557	37.461	60.105	307.50	3.3904	25.226	0.036605	supercritical
160.00	13.933	204.57	0.0048883	21.912	24.910	89.525	37.468	60.157	307.54	3.3865	25.244	0.036638	supercritical
160.00	13.967	205.14	0.0048748	21.906	24.903	89.493	37.475	60.209	307.58	3.3826	25.261	0.036672	supercritical
160.00	14.000	205.70	0.0048614	21.901	24.896	89.460	37.482	60.261	307.61	3.3787	25.279	0.036705	supercritical
160.00	14.033	206.27	0.0048480	21.895	24.889	89.428	37.489	60.313	307.65	3.3749	25.297	0.036738	supercritical
160.00	14.067	206.84	0.0048347	21.889	24.882	89.396	37.496	60.364	307.69	3.3710	25.315	0.036772	supercritical
160.00	14.100	207.40	0.0048215	21.884	24.876	89.364	37.503	60.416	307.73	3.3671	25.333	0.036805	supercritical
160.00	14.133	207.97	0.0048084	21.878	24.869	89.332	37.510	60.468	307.77	3.3632	25.350	0.036839	supercritical
160.00	14.167	208.54	0.0047953	21.872	24.862	89.300	37.517	60.520	307.81	3.3592	25.368	0.036872	supercritical
160.00	14.200	209.11	0.0047823	21.867	24.855	89.269	37.524	60.572	307.85	3.3553	25.386	0.036906	supercritical
